School,Address,Latitude,Longitude,4-Year Graduation Rate - All Students,6-Year Graduation Rate - All Students,Average Regents Score - Algebra I,Average Regents Score - Algebra II,Average Regents Score - Chemistry,Average Regents Score - Earth Science,Average Regents Score - English,Average Regents Score - Geometry,Average Regents Score - Global History,Average Regents Score - Languages Other Than English,Average Regents Score - Living Environment,Average Regents Score - Physics,Average Regents Score - US History,Average score of students in the current cohort who took the SAT Math exam,Average score of students in the current cohort who took the SAT Reading and Writing exam,Average Student Attendance,College and Career Preparatory Course Index,Postsecondary Enrollment Rate - 18 Months,Postsecondary Enrollment Rate - 6 Months
47 The American Sign Language and English Secondary School,"223 East 23rd Street, Manhattan NY 10010",40.738374,-73.981329,0.984,0.935,61.5,51.5,0,66.2,72.1,0,68.1,59.3,61.5,39.3,69.3,397,434,0.815,0.968,0.806,0.785
A. Philip Randolph Campus High School,"443 West 135th Street, Manhattan NY 10031",40.8185,-73.949929,0.775,0.878,67.4,61.6,60.7,0,69.8,59.1,71,81.8,63.8,42.8,65.4,425,437,0.824,0.493,0.644,0.581
Abraham Lincoln High School,"2800 Ocean Parkway, Brooklyn NY 11235",40.582627,-73.968733,0.89,0.905,62.8,70.6,56.1,55.7,72.6,54.3,66.8,74.7,61.5,0,67,413,427,0.802,0.606,0.683,0.651
Academy for Careers in Television and Film,"1-50 51st Avenue, Long Island City NY 11101",40.742964,-73.959183,0.984,1,65.6,60.7,54.9,67.1,68.8,54.4,75.9,0,68.4,0,66.4,453,483,0.893,0.953,0.869,0.794
Academy for College Preparation and Career Exploration: A College Board School,"911 Flatbush Avenue, Brooklyn NY 11226",40.649602,-73.957173,0.863,0.883,65.5,0,0,0,66.2,47.9,58.2,0,58.9,0,0,396,415,0.905,0.353,0.5,0.324
Academy for Conservation and the Environment,"6565 Flatlands Avenue, Brooklyn NY 11236",40.634451,-73.916927,0.955,0.97,58.8,47.3,51.3,61.2,69.2,50.7,63.6,67.6,58.7,0,60.5,394,412,0.929,0.818,0.652,0.571
Academy for Excellence in Leadership,"400 Irving Avenue, Brooklyn NY 11237",40.696457,-73.911751,0.93,0.844,62,48.1,0,49.3,52.5,0,59.9,0,60.1,0,54,377,389,0.893,0.303,0.328,0.233
Academy for Health Careers,"150 Albany Avenue, Brooklyn NY 11213",40.675905,-73.939282,0.833,0.909,53.5,38.9,41.8,0,60.3,44.5,63.2,0,58.2,0,67,401,424,0.811,0.424,0.564,0.731
Academy for Language and Technology,"1700 Macombs Road, Bronx NY 10453",40.849416,-73.915217,0.975,1,71.5,0,0,0,69.2,48,73.2,87.9,71,0,71.1,379,385,0.893,0.981,0.615,0.57
Academy for Scholarship and Entrepreneurship: A College Board School,"921 East 228th Street, Bronx NY 10466",40.888242,-73.852714,0.812,0.807,56.4,49.7,0,52.9,66.7,51.9,62.5,0,63.3,0,57.7,386,420,0.902,0.803,0.477,0.559
Academy for Software Engineering,"40 Irving Place, Manhattan NY 10003",40.735361,-73.987064,0.929,0.945,62.3,0,0,62.9,71.8,49.6,67.9,0,62.1,0,60.1,469,478,0.816,0.414,0.734,0.776
Academy for Young Writers,"1065 Elton Street, Brooklyn NY 11208",40.657266,-73.874064,0.949,0.935,57.7,0,38.4,64.5,67,48.5,52.1,0,56.2,0,62.1,402,443,0.791,0.911,0.597,0.553
Academy of American Studies,"28-04 41st Avenue, Long Island City NY 11101",40.751144,-73.937564,0.96,0.993,67.4,63,64.5,0,79.7,63.2,75.4,75.9,75.1,53.4,78.2,515,531,0.911,0.969,0.908,0.795
Academy of Finance and Enterprise,"30-20 Thomson Avenue, Long Island City NY 11101",40.744175,-73.937004,0.908,0.984,70.9,72.5,78,72.8,79.2,64,77,88.4,71.1,87.6,80.5,501,500,0.884,0.899,0.879,0.877
Academy of Hospitality and Tourism,"911 Flatbush Avenue, Brooklyn NY 11226",40.649602,-73.957173,0.863,0.869,61.3,48,38.6,62.9,73.8,56,63.6,0,60.4,0,58,388,402,0.832,0.625,0.721,0.868
Academy of Innovative Technology,"999 Jamaica Avenue, Brooklyn NY 11208",40.693002,-73.869305,0.941,0.925,63.6,58.5,54.4,64.2,68.4,57.1,73.6,0,63.2,0,66.9,425,437,0.844,0.569,0.682,0.631
Academy of Medical Technology: A College Board School,"8-21 Bay 25th Street, Far Rockaway NY 11691",40.601537,-73.763995,0.837,0.784,58.9,56,51.4,53.6,69.1,43.8,63.9,0,61.2,0,58.5,390,396,0.8,0.856,0.515,0.58
Achievement First Brownsville Charter School,"2021 Bergen Street, Brooklyn, NY 11233",40.674137,-73.913415,0.81,0.831,62.4,49.6,0,0,65.6,49,65.9,0,64.8,0,69.2,0,0,0.877,0.714,0.571,0.762
Achievement First Crown Heights Charter School,"790 E New York Ave, Brooklyn, NY 11203",40.661786,-73.935746,0.941,0.981,66.3,52.2,46.4,0,65,0,61.5,0,67.4,35.2,0,0,0,0.918,0.877,0.875,0.823
Achievement First East New York Charter School,"35 Starr St, Brooklyn, NY 11221",40.701066,-73.927123,0.912,0.977,66.8,0,0,0,66.5,54.9,65.5,0,69.2,0,65.3,0,0,0.915,0.916,0.841,0.875
AECI II: NYC Charter High School for Computer Engineering and Innovation,"116 E 169th St, Bronx, NY 10452",40.808703,-73.921888,0.936,0,57.6,46.2,55.6,68.5,66.6,52.5,66.2,0,58.1,0,63.8,0,0,0.856,0.567,0,0
Alfred E. Smith Career and Technical Education High School,"333 East 151st Street, Bronx NY 10451",40.818645,-73.919949,0.907,0.97,55.2,46.6,41.2,45,72.3,42.7,68.1,0,59.4,0,70.4,405,424,0.814,0.837,0.554,0.355
All City Leadership Secondary School,"321 Palmetto Street, Brooklyn NY 11237",40.697378,-73.913172,1,0.984,72.5,60.5,59.9,74.8,77.9,72.1,83.5,84,72.7,0,76.3,555,553,0.923,0.833,0.797,0.719
American Dream Charter School,"510 E 141st St, Bronx, NY 10454",40.809199,-73.917131,0.973,0.933,57.3,47.7,49.4,54.5,67,50.1,69.2,75.3,63,0,66.4,0,0,0.901,0.811,0.72,0.753
Antonia Pantoja Preparatory Academy: A College Board School,"1980 Lafayette Avenue, Bronx NY 10473",40.821218,-73.85593,0.81,0.915,54.7,0,0,51.9,64.6,58.1,60.5,0,55.2,0,64,383,420,0.813,0.81,0.593,0.388
"Archimedes Academy for Math, Science and Technology Applications","456 White Plains Road, Bronx, NY 10473",40.815043,-73.85607,0.707,0.815,57.4,0,0,51.9,63.2,54.5,62.2,0,60,0,62.9,411,432,0.81,0.6,0.444,0.435
Art and Design High School,"231-249 East 56th Street, Manhattan NY 10019",40.759248,-73.967204,0.971,0.951,74.5,62,61.1,73.9,81.8,65,77.5,0,78.4,53.4,76.3,482,508,0.887,0.96,0.753,0.743
Astor Collegiate Academy,"925 Astor Avenue, Bronx NY 10469",40.860443,-73.860729,0.881,0.825,60.5,61.2,58.8,0,68.6,52.9,64.5,0,58.8,0,68.2,421,439,0.88,0.891,0.64,0.643
A-Tech High School,"50 Bedford Ave, Brooklyn, NY 11222",40.721448,-73.953328,0.817,0.855,62.1,52,0,0,70.5,55.7,69.3,87.4,67,32,63.6,413,426,0.882,0.508,0.408,0.247
August Martin High School,"156-10 Baisley Boulevard, Jamaica NY 11434",40.673949,-73.782684,0.908,0.975,64.9,49.6,45.4,0,71.3,46.1,65.7,84,58.6,28,64.3,400,415,0.855,0.924,0.57,0.449
Aviation Career & Technical Education High School,"45-30 36th Street, Long Island City NY 11101",40.743309,-73.929577,0.976,0.991,76,78,75.2,79.6,83.2,76.3,81.8,0,74,76.3,81.4,556,526,0.944,0.94,0.939,0.938
Baccalaureate School for Global Education,"34-12 36th Avenue, Astoria NY 11106",40.754975,-73.926977,0.977,1,67.9,83,69.3,0,85.1,75.6,80.3,85.3,71.9,76.9,82.2,653,645,0.939,0.932,0.897,0.858
Bard High School Early College,"525 East Houston Street, Manhattan NY 10002",40.718276,-73.976093,0.986,0.988,67.6,0,64.1,0,83.3,0,75.1,0,0,0,75.6,592,600,0.922,1,0.963,0.957
Bard High School Early College Queens,"30-20 Thomson Avenue, Long Island City NY 11101",40.744175,-73.937004,0.986,1,74.2,0,0,0,80.3,0,77.3,0,77,0,77.8,637,639,0.938,0.993,0.975,0.936
Baruch College Campus High School,"55 East 25th Street, Manhattan NY 10010",40.741888,-73.985723,0.992,1,73.5,70.6,75.9,79.5,88.1,71.9,81.4,86.4,0,0,78.3,612,611,0.926,0.917,1,0.965
Bayside High School,"32-24 Corporal Kennedy Street, Bayside NY 11361",40.771398,-73.781041,0.99,0.994,65.9,67.7,62.5,0,76.9,70.7,73.4,79.6,70.6,67.4,72.9,519,512,0.922,0.995,0.853,0.803
Beacon High School,"522 West 44th Street, New York NY 10036",40.760858,-73.996262,0.98,0.992,0,0,0,0,87.7,0,0,0,0,0,0,602,624,0.931,0.725,0.955,0.831
Bedford Academy High School,"1119 Bedford Avenue, Brooklyn NY 11216",40.685486,-73.953692,1,1,74,70.9,73.1,82.1,84.7,78.5,77,78.6,76.7,0,77,481,487,0.915,0.9,0.771,0.8
Belmont Preparatory High School,"500 East Fordham Road, Bronx NY 10458",40.859466,-73.888625,0.977,0.791,53.1,46.8,0,65.1,71.6,49.2,73.4,85.9,66.5,0,69.7,455,466,0.908,0.621,0.516,0.798
Benjamin Banneker Academy,"71-77 Clinton Avenue, Brooklyn NY 11205",40.695389,-73.968759,1,0.958,72.9,59.5,53.8,63.4,79.7,55.6,70.3,78.1,67.6,50.7,69.3,463,462,0.84,0.982,0.723,0.716
Benjamin Franklin High School for Finance & Information Technology,"207- 01 116th Avenue, Cambria Heights NY 11411",40.698786,-73.74633,0.929,0.933,69,62,68.3,64.6,67.9,56,67.9,0,67.7,0,64.6,421,437,0.845,0.591,0.629,0.608
Benjamin N. Cardozo High School,"57-00 223rd Street, Bayside NY 11364",40.752343,-73.757271,0.935,0.954,66,62.1,67.5,0,74.5,64.4,77.2,82.5,68,59.2,74.3,552,536,0.887,0.802,0.811,0.765
Boys and Girls High School,"1700 Fulton Street, Brooklyn NY 11213",40.678478,-73.931604,0.731,0.818,53.7,41.3,41.9,0,65.1,44.4,62.8,0,53.9,0,0,393,410,0.813,0.5,0.364,0.341
Bronx Academy for Software Engineering (BASE),"2474 Crotona Avenue, Bronx NY 10458",40.855392,-73.882487,0.917,0.889,62.6,45.5,48.1,48,71.3,46.7,66.9,0,66.8,0,67.5,446,468,0.798,0.542,0.58,0.682
Bronx Academy of Health Careers,"800 East Gun Hill Road, Bronx NY 10467",40.875172,-73.861649,0.827,0.929,53.2,45.1,59.8,56.7,63.7,42.4,63.1,81.7,59,0,59,375,381,0.87,0.4,0.702,0.538
Bronx Aerospace High School,"800 East Gun Hill Road, Bronx NY 10467",40.875172,-73.861649,0.889,0.797,52.3,0,0,50.4,63.9,46.4,61.8,0,56.4,0,0,395,391,0.902,0.556,0.468,0.556
Bronx Bridges High School,"1980 Lafayette Avenue, Bronx NY 10473",40.821218,-73.85593,0.817,0.939,67.9,0,0,62.8,54.1,59.7,70.8,78.7,63.7,0,60.9,400,383,0.87,0.491,0.556,0.353
Bronx Career and College Preparatory High School,"800 Home Street, Bronx NY 10456",40.826933,-73.900593,0.766,0.8,51.3,41.1,0,60.1,56.7,44.4,58.1,82.9,50.6,0,59.3,376,399,0.809,0.317,0.277,0.262
Bronx Center for Science and Mathematics,"1363 Fulton Avenue, Bronx NY 10456",40.833884,-73.902794,0.957,0.973,63.4,64.6,70.1,69.6,77.6,66.7,71.1,84.2,66,58.3,72.1,523,512,0.866,0.777,0.818,0.779
Bronx Collaborative High School,"100 West Mosholu Parkway South, Bronx NY 10468",40.879958,-73.889011,0.774,0.903,0,0,0,0,63.9,0,0,0,0,0,0,388,420,0.683,0.255,0.576,0.5
Bronx Collegiate Academy,"240 East 172nd Street, Bronx NY 10457",40.839307,-73.911366,0.87,0.942,65.5,70.1,60,71.4,63.1,60,72.9,93.5,64.5,0,64.7,403,409,0.877,0.825,0.605,0.527
Bronx Compass High School,"1980 Lafayette Avenue, Bronx NY 10473",40.821218,-73.85593,0.767,0.873,61.2,55.5,0,51.7,69.4,0,58.2,0,57.7,0,63.8,393,386,0.812,0.292,0.431,0.278
Bronx Design and Construction Academy,"333 East 151st Street, Bronx NY 10451",40.818645,-73.919949,0.705,0.709,60.7,46.2,0,0,68.5,0,56.4,0,57.4,0,61.1,351,357,0.859,0.459,0.279,0.324
Bronx Early College Academy for Teaching & Learning,"250 East 164th Street, Bronx NY 10456",40.828009,-73.917705,0.952,0.985,69.5,0,68.6,59.1,67.9,0,73.7,85.8,70,0,69.2,428,442,0.887,0.795,0.773,0.732
Bronx Engineering and Technology Academy,"99 Terrace View Avenue, Bronx NY 10463",40.877379,-73.912686,0.907,0.793,59.4,47.2,0,55.8,65.9,43.6,57.9,0,59.8,0,61.4,418,429,0.817,0.355,0.476,0.56
Bronx Envision Academy,"1619 Boston Road, Bronx NY 10460",40.836245,-73.890591,0.734,0.911,57,54.3,46,52.3,70,49.6,61,84.1,52,0,66.1,394,409,0.833,0.269,0.65,0.453
Bronx Health Sciences High School,"750 Baychester Avenue, Bronx NY 10475",40.874035,-73.831669,1,0.983,55.8,48.7,57.1,0,79.9,0,65.5,0,57.8,0,0,437,466,0.84,0.917,0.933,0.891
Bronx High School for Law and Community Service,"500 East Fordham Road, Bronx NY 10458",40.859466,-73.888625,0.949,0.976,60.3,0,0,54.9,63,55.9,67.8,86.6,63.4,0,63,444,462,0.88,0.361,0.738,0.691
Bronx High School for Medical Science,"240 East 172nd Street, Bronx NY 10457",40.839307,-73.911366,0.896,0.929,59.1,55.4,50.4,59.8,67.4,45.8,66.8,77.8,66.9,0,65.8,447,472,0.901,0.961,0.786,0.825
Bronx High School for the Visual Arts,"2040 Antin Place, Bronx NY 10462",40.851577,-73.864438,0.848,0.854,64.8,0,0,58,64.9,57.9,66,69.9,61.8,37.5,65.9,423,445,0.838,0.413,0.488,0.377
Bronx High School for Writing and Communication Arts,"800 East Gun Hill Road, Bronx NY 10467",40.875172,-73.861649,0.76,0.775,57.9,0,0,0,71.6,0,66.6,90.2,54.8,0,68.4,380,405,0.789,0.5,0.483,0.432
Bronx High School of Business,"240 East 172nd Street, Bronx NY 10457",40.839307,-73.911366,0.781,0.825,55.1,43,48.9,0,48.2,41.6,53.9,80.3,49.8,0,66.4,392,391,0.824,0.322,0.492,0.5
Bronx International High School,"1110 Boston Road, Bronx NY 10456",40.827455,-73.90392,0.915,0.918,0,0,0,0,50.2,0,0,0,0,0,0,384,395,0.785,0.659,0.531,0.5
Bronx Lab School,"800 East Gun Hill Road, Bronx NY 10467",40.875172,-73.861649,0.884,0.83,0,0,0,0,63.4,0,0,0,0,0,0,403,401,0.778,0.191,0.557,0.41
Bronx Latin,"800 Home Street, Bronx NY 10456",40.826933,-73.900593,0.968,0.933,63.1,46.3,52,52.1,67.4,51.5,63,75.2,63.3,0,68.5,456,478,0.866,1,0.72,0.757
Bronx Leadership Academy High School,"1710 Webster Avenue, Bronx NY 10457",40.84325,-73.902969,0.926,0.806,51.9,0,36.5,0,51.1,45.7,58.9,0,48.4,0,67.9,365,398,0.83,0.947,0.411,0.489
Bronx Leadership Academy II High School,"730 Concourse Village West, Bronx NY 10451",40.821828,-73.922366,0.806,0.874,60.4,48.5,44.4,44.2,60,49.6,63.7,73.2,53.2,0,66.8,415,435,0.797,0.67,0.622,0.562
Bronx Preparatory Charter School,"3872 3rd Ave, Bronx, NY 10457",40.8391,-73.900552,0.809,0.897,60.1,60.5,62.3,0,73.7,59.8,69.8,77.2,68.7,51.3,77.8,0,0,0.895,0.734,0.782,0.756
Bronx River High School,"3000 East Tremont Avenue, Bronx NY 10461",40.839775,-73.839583,1,0.867,67.1,68.1,48.3,49,71.4,64,68.6,87.3,59.1,0,70.4,412,440,0.875,0.4,0.551,0.602
"Bronx School for Law, Government and Justice","244 East 163rd Street, Bronx NY 10451",40.827461,-73.919024,0.85,0.896,62.9,57.9,0,0,61.2,48.5,69,88.6,60.4,30.2,69.2,411,431,0.865,0.663,0.626,0.699
Bronx School of Law and Finance,"99 Terrace View Avenue, Bronx NY 10463",40.877379,-73.912686,0.879,0.84,59.5,45.4,45.9,0,66.1,47.9,62.8,77.3,58.2,0,68.6,398,413,0.829,0.758,0.54,0.459
Bronx Studio School for Writers and Artists,"928 Simpson Street, Bronx NY 10459",40.820388,-73.892961,0.879,0.915,61.5,46.5,43.2,45.2,70.5,44,62,90.3,62.7,0,64.2,439,420,0.83,0.485,0.622,0.667
Bronx Theatre High School,"99 Terrace View Avenue, Bronx NY 10463",40.877379,-73.912686,0.986,0.882,64.4,42.1,0,40,66,0,66.2,0,49,0,60.5,392,392,0.825,0.423,0.539,0.479
Bronxdale High School,"925 Astor Avenue, Bronx NY 10469",40.860443,-73.860729,0.905,0.879,60.2,44.1,41.8,57.7,65,43.7,61.8,84.7,58.3,0,64.4,427,443,0.872,0.366,0.54,0.594
Brooklyn Academy of Science and the Environment,"883 Classon Avenue, Brooklyn NY 11225",40.669805,-73.960689,0.934,0.859,60.8,57.7,0,75.4,69.1,54.6,67.3,45.6,57.2,0,66.1,424,462,0.874,0.395,0.554,0.481
Brooklyn Ascend Charter School,"205 Rockaway Pkwy-2Nd Fl, Brooklyn, NY 11212",40.661905,-73.920871,0.739,0.841,65.6,53.6,0,0,58.1,52.7,57,0,64.9,0,68.5,0,0,0.917,0.108,0.648,0.525
Brooklyn Collaborative Studies,"610 Henry Street, Brooklyn NY 11231",40.679462,-74.002022,0.908,0.978,0,0,0,0,72.6,0,0,0,0,0,0,411,456,0.804,0.987,0.699,0.608
Brooklyn College Academy,"350 Coney Island Avenue, Brooklyn NY 11218",40.649055,-73.972312,0.974,0.974,68.5,65.4,0,73.4,82.1,64.4,75,76.4,75,0,77.3,524,529,0.95,0.957,0.903,0.851
Brooklyn Collegiate: A College Board School,"2021 Bergen Street, Brooklyn NY 11233",40.674456,-73.912685,0.862,0.889,62.5,42,0,41.9,70.7,45.3,56.7,0,56,0,58.3,387,406,0.839,0.77,0.514,0.553
Brooklyn Community Arts & Media High School (BCAM),"300 Willoughby Avenue, Brooklyn NY 11205",40.692015,-73.95818,0.857,0.869,61,45.7,42.4,0,60.5,51,64.6,0,56.6,0,62.8,397,411,0.808,0.309,0.569,0.5
Brooklyn Community High School for Excellence and Equity,"6565 Flatlands Avenue, Brooklyn NY 11236",40.634451,-73.916927,0.881,0.84,62.1,65.7,0,55.5,63.2,47.8,60.9,0,60.5,0,62,418,419,0.816,0.714,0.38,0.349
Brooklyn Emerging Leaders Academy Charter School,"125 Stuyvesant Ave Floor 2, Brooklyn, NY 11221",40.691577,-73.933762,0.952,0.962,54.9,52.4,45.5,0,62.7,0,0,0,58.2,0,63.2,0,0,0.871,0.672,0.846,0.527
Brooklyn High School for Law and Technology,"1396 Broadway, Brooklyn NY 11221",40.688399,-73.920603,0.918,0.927,51.4,0,49.6,63.5,65.4,51.1,65,79.2,53.3,0,62.1,420,441,0.844,0.573,0.569,0.563
Brooklyn High School of the Arts,"345 Dean Street, Brooklyn NY 11217",40.683951,-73.980266,0.953,0.977,65.8,56.6,57.6,70.2,75.3,54.8,74.2,81.7,67.7,0,71.8,442,471,0.884,0.712,0.727,0.654
Brooklyn Institute for Liberal Arts,"600 Kingston Avenue, Brooklyn NY 11203",40.658671,-73.943839,0.881,0.926,63.5,58.8,0,0,75,67.4,67.2,0,60.5,0,0,437,461,0.88,0.847,0.705,0.645
Brooklyn International High School,"49 Flatbush Avenue Extension, Brooklyn NY 11201",40.69733,-73.984528,0.803,0.887,0,0,0,0,51.1,0,0,0,0,0,0,421,423,0.875,0.754,0.557,0.515
Brooklyn Lab School,"999 Jamaica Avenue, Brooklyn NY 11208",40.693002,-73.869305,0.99,0.986,59.2,58,0,55.2,55.9,51.9,59.4,86.2,61.6,0,58,407,418,0.871,0.526,0.681,0.621
Brooklyn Laboratory Charter School,"77 Sands Street, Brooklyn, NY 11226",40.700214,-73.987458,0.743,0.867,57.8,0,0,53.9,57.6,45.9,61,0,55,0,0,0,0,0.907,0.274,0.544,0.485
"Brooklyn Latin School, The","223 Graham Avenue, Brooklyn NY 11206",40.709765,-73.944463,0.995,0.988,84.6,82.3,80.5,0,89.4,81.9,85.2,78.6,85.7,76.9,79.9,669,664,0.932,0.985,0.951,0.855
Brooklyn Preparatory High School,"257 North 6th Street, Brooklyn NY 11211",40.715561,-73.954815,0.946,0.963,64.9,0,0,0,68.5,0,62.8,0,72.2,0,65.6,422,451,0.936,0.446,0.648,0.713
Brooklyn Prospect Charter School - CSD 15.2,"3002 Fort Hamilton Pkwy, Brooklyn, NY 11218",40.648379,-73.978683,0.932,0,69.8,0,0,0,80.4,0,72.1,77.4,75.9,0,73.8,0,0,0.983,0.946,0,0.767
Brooklyn School for Music & Theatre,"882 Classon Avenue, Brooklyn NY 11225",40.669805,-73.960689,0.783,0.824,60.6,43.8,47.3,0,65.1,45,65.1,0,57.3,0,65.6,369,408,0.852,0.7,0.441,0.512
Brooklyn Studio Secondary School,"8310 21st Avenue, Brooklyn NY 11214",40.60498,-73.995084,0.88,0.912,65.5,57.5,57.5,65.7,70.5,54,70.7,80.3,66.6,0,73,456,469,0.889,0.545,0.698,0.695
